packet_index,is_anomaly,anomaly_type
0,0,none
1,0,none
2,0,none
3,0,none
4,0,none
5,0,none
6,0,none
7,0,none
8,0,none
9,0,none
10,0,none
11,0,none
12,0,none
13,0,none
14,0,none
15,0,none
16,0,none
17,0,none
18,0,none
19,0,none
20,0,none
21,0,none
22,0,none
23,0,none
24,0,none
25,0,none
26,1,frequency
27,0,none
28,0,none
29,0,none
30,0,none
31,0,none
32,0,none
33,0,none
34,0,none
35,0,none
36,0,none
37,0,none
38,0,none
39,0,none
40,0,none
41,0,none
42,0,none
43,0,none
44,0,none
45,0,none
46,0,none
47,0,none
48,0,none
49,0,none
50,0,none
51,0,none
52,0,none
53,0,none
54,0,none
55,0,none
56,0,none
57,0,none
58,0,none
59,0,none
60,0,none
61,0,none
62,0,none
63,0,none
64,0,none
65,0,none
66,0,none
67,0,none
68,0,none
69,0,none
70,0,none
71,0,none
72,0,none
73,0,none
74,0,none
75,0,none
76,0,none
77,0,none
78,0,none
79,0,none
80,0,none
81,0,none
82,0,none
83,0,none
84,0,none
85,0,none
86,0,none
87,0,none
88,0,none
89,0,none
90,0,none
91,0,none
92,0,none
93,0,none
94,0,none
95,0,none
96,0,none
97,0,none
98,0,none
99,0,none
100,0,none
101,0,none
102,1,frequency
103,0,none
104,0,none
105,0,none
106,0,none
107,0,none
108,1,frequency
109,0,none
110,0,none
111,0,none
112,0,none
113,0,none
114,0,none
115,0,none
116,0,none
117,0,none
118,0,none
119,0,none
120,0,none
121,0,none
122,1,frequency
123,0,none
124,0,none
125,0,none
126,0,none
127,0,none
128,0,none
129,0,none
130,1,frequency
131,0,none
132,0,none
133,0,none
134,0,none
135,0,none
136,0,none
137,0,none
138,0,none
139,0,none
140,0,none
141,0,none
142,0,none
143,0,none
144,0,none
145,0,none
146,0,none
147,0,none
148,0,none
149,0,none
150,0,none
151,0,none
152,0,none
153,0,none
154,0,none
155,0,none
156,0,none
157,0,none
158,0,none
159,0,none
160,0,none
161,0,none
162,0,none
163,0,none
164,0,none
165,0,none
166,0,none
167,0,none
168,0,none
