timestamp,label_octal,ssm_bits,data_bits,parity_bit,raw_hex,is_anomaly
1777310469.051882,206,11,1100001011110011111,1,0xF85E7E61,0
1777310469.052882,203,11,1101001000001000000,1,0xFA4103C1,0
1777310469.053882,360,11,1011001011111111001,1,0xF65FE60F,0
1777310469.054882,203,11,1100110100110110011,0,0x79A6CEC1,0
1777310469.055882,203,11,1001100000101110001,0,0x7305C7C1,0
1777310469.056882,206,11,1100101110110100001,1,0xF9768661,0
1777310469.057882,360,11,0100001111001101100,1,0xE879B10F,0
1777310469.058882,360,11,1000011010000011011,1,0xF0D06C0F,0
1777310469.059882,203,11,1111011001100110101,0,0x7ECCD4C1,0
1777310469.060882,360,11,0011001001100010110,1,0xE64C580F,0
1777310469.061882,206,11,0111001111001011101,1,0xEE797661,0
1777310469.062882,360,11,0101010101100110001,1,0xEAACC50F,0
1777310469.063882,360,11,1011100111111110100,1,0xF73FD20F,0
1777310469.064882,360,11,1111100101110110001,0,0x7F2EC50F,0
1777310469.065882,360,11,0111111010100001111,1,0xEFD43F0F,0
1777310469.066882,360,11,0111110011010010011,1,0xEF9A4E0F,0
1777310469.067882,203,11,0001000100011001000,0,0x622321C1,0
1777310469.068882,206,11,0101000011101000010,1,0xEA1D0861,0
1777310469.069882,203,11,1111001111100001110,1,0xFE7C3AC1,0
1777310469.070882,360,11,0010011001100011101,1,0xE4CC760F,0
1777310469.071882,203,11,0100100110011001110,0,0x693339C1,0
1777310469.072882,360,11,0111011000011000111,1,0xEEC31F0F,0
1777310469.073882,206,11,0101101000111000010,1,0xEB470A61,0
1777310469.074882,206,11,0010001011011001100,0,0x645B3361,0
1777310469.075882,360,11,0100000010111100000,0,0x6817810F,0
1777310469.076882,203,11,1001111111010110011,1,0xF3FACFC1,0
1777310469.077882,360,11,0111100000011110000,0,0x6F03C20F,0
1777310469.078882,206,11,1000101000111011001,0,0x71476561,0
1777310469.079882,203,11,1100001101100011101,1,0xF86C76C1,0
1777310469.080882,203,11,0011100110011111110,1,0xE733FAC1,0
1777310469.081882,360,11,0110000100001001110,0,0x6C213B0F,0
1777310469.082882,360,11,1101001000000010010,0,0x7A40490F,0
1777310469.083882,360,11,0001010111111001000,0,0x62BF200F,0
1777310469.084882,206,11,1101011101011100110,1,0xFAEB9A61,0
1777310469.085882,360,11,1101000111001100000,1,0xFA39830F,0
1777310469.086882,206,11,1101101111011100110,1,0xFB7B9B61,0
1777310469.087882,360,11,0111000110111110011,0,0x6E37CD0F,0
1777310469.088882,206,11,0111110111011100001,1,0xEFBB8561,0
1777310469.089882,360,11,0101010000010001011,1,0xEA822E0F,0
1777310469.090882,360,11,1101101100111110111,0,0x7B67DD0F,0
1777310469.091882,360,11,1000111101111000100,0,0x71EF120F,0
1777310469.092882,206,11,0010010111101100000,0,0x64BD8061,0
1777310469.093882,203,11,1011110000110101010,0,0x7786A8C1,0
1777310469.094882,206,11,0010100110001110000,0,0x6531C161,0
1777310469.095882,360,11,1010000111110011100,1,0xF43E730F,0
1777310469.096882,360,11,1100111000100000100,1,0xF9C4120F,0
1777310469.097882,206,11,1011000011110010101,1,0xF61E5661,0
1777310469.098882,206,11,0001010011000111111,0,0x6298FC61,0
1777310469.099882,360,11,1010100011011101100,0,0x751BB10F,0
1777310469.100882,360,11,0011001001100100100,0,0x664C900F,0
1777310469.101882,360,11,1010010001111011111,1,0xF48F7F0F,0
1777310469.102882,206,11,0110111000111101100,1,0xEDC7B361,0
1777310469.103882,360,11,0111011000101111110,0,0x6EC5F90F,0
1777310469.104882,206,11,0001000101010000011,1,0xE22A0D61,0
1777310469.105882,203,11,1001010010001110010,0,0x7291C8C1,0
1777310469.106882,360,11,1110100110101110100,1,0xFD35D10F,0
1777310469.107882,360,11,1000110011011010011,1,0xF19B4C0F,0
1777310469.108882,203,11,1000010110100101100,1,0xF0B4B2C1,0
1777310469.109882,360,11,1110101100101000110,1,0xFD651B0F,0
1777310469.110882,203,11,0101111100011111110,0,0x6BE3FAC1,0
1777310469.111882,360,11,0000111001111011100,1,0xE1CF700F,0
1777310469.112882,203,11,1001111110001000000,0,0x73F103C1,0
1777310469.113882,206,11,0000001100010011100,1,0xE0627161,0
1777310469.114882,206,11,0110110011010000011,1,0xED9A0C61,0
1777310469.115882,203,11,0011100011011001010,1,0xE71B28C1,0
1777310469.116882,360,11,0010111110100001000,1,0xE5F4200F,0
